countryname;Year;gdp_capita_growth
Slovenia;2004;4,479062333
Spain;2004;1,350586856
Sweden;2004;3,770598044
Switzerland;2004;1,998132056
Austria;2005;1,625659219
Bulgaria;2005;7,865501921
Croatia;2005;4,192859775
Czechia;2005;6,22798628
Denmark;2005;2,078014856
Estonia;2005;10,15160652
Finland;2005;2,426156625
Germany;2005;0,942994646
Greece;2005;0,887221046
Ireland;2005;3,460941259
Italy;2005;0,26848974
Latvia;2005;12,82793965
Luxembourg;2005;0,926765761
Netherlands;2005;1,795825806
Norway;2005;1,988138461
Poland;2005;3,306214772
Portugal;2005;0,595038261
Romania;2005;5,316506112
Slovenia;2005;3,674397888
Spain;2005;1,81657726
Sweden;2005;2,382883999
Switzerland;2005;2,093586607
Austria;2006;2,759623791
Bulgaria;2006;7,616849232
Croatia;2006;5,056750368
Czechia;2006;6,334832675
Denmark;2006;3,475859871
Estonia;2006;10,41170341
Finland;2006;3,621134935
Germany;2006;3,972948918
Greece;2006;6,124193952
Ireland;2006;2,195190539
Italy;2006;1,493971054
Latvia;2006;13,86469251
Luxembourg;2006;4,339108315
Netherlands;2006;3,371213516
Norway;2006;1,639570085
Poland;2006;6,269429324
Portugal;2006;1,441936874
Romania;2006;8,670675853
Slovenia;2006;5,571352596
Spain;2006;2,299515064
Sweden;2006;4,088865874
Switzerland;2006;3,42255066
Austria;2007;3,439385421
Bulgaria;2007;7,441488627
Croatia;2007;5,071844693
Czechia;2007;4,875046712
Denmark;2007;0,540321505
Estonia;2007;8,062765331
Finland;2007;4,865721387
Germany;2007;3,0277824
Greece;2007;3,243514188
Ireland;2007;2,309229709
Italy;2007;0,95126599
Latvia;2007;11,31940127
Luxembourg;2007;6,442031366
Netherlands;2007;3,659579118
Norway;2007;1,854643317
Poland;2007;6,818439881
Portugal;2007;2,305552182
Romania;2007;8,829648237
Slovenia;2007;6,541772872
Spain;2007;1,634639798
Sweden;2007;2,462275559
Switzerland;2007;2,991822023
Austria;2008;1,136211288
Bulgaria;2008;6,877126917
Croatia;2008;1,980704128
Czechia;2008;1,76470871
Denmark;2008;-1,000559399
Estonia;2008;-4,870580322
Finland;2008;0,316320509
Germany;2008;1,10245964
Greece;2008;-0,207784595
Ireland;2008;-6,411645125
Italy;2008;-1,676662664
Latvia;2008;-2,368035285
Luxembourg;2008;-2,066473902
Netherlands;2008;1,720055576
Norway;2008;-0,762647958
Poland;2008;4,369536452
Portugal;2008;0,174699793
Romania;2008;11,1442089
Slovenia;2008;3,2088935
Spain;2008;-0,827648451
Sweden;2008;-1,691966277
Switzerland;2008;1,509950794
Austria;2009;-3,83849313
Bulgaria;2009;-2,722414675
Croatia;2009;-6,716033776
Czechia;2009;-5,339174
Denmark;2009;-5,481582828
Estonia;2009;-14,46549591
Finland;2009;-8,514604399
Germany;2009;-5,305528183
Greece;2009;-4,371136224
Ireland;2009;-6,054810491
Italy;2009;-5,735615123
Latvia;2009;-14,64231217
Luxembourg;2009;-5,014263013
Netherlands;2009;-4,159453177
Norway;2009;-3,169256285
Poland;2009;2,545616825
Portugal;2009;-3,214388671
Romania;2009;-4,726288594
Slovenia;2009;-8,422089967
Spain;2009;-4,616729632
Sweden;2009;-5,067760297
Switzerland;2009;-3,51055886
Austria;2010;1,564533617
Bulgaria;2010;2,2260788
Croatia;2010;-1,110032234
Czechia;2010;2,415829505
Denmark;2010;1,132669372
Estonia;2010;2,683657351
Finland;2010;2,697376463
Germany;2010;4,306441053
Greece;2010;-5,815205229
Ireland;2010;1,130424454
Italy;2010;1,217290943
Latvia;2010;-1,635144286
Luxembourg;2010;1,88354731
Netherlands;2010;0,800960564
Norway;2010;-0,460631256
Poland;2010;3,464008539
Portugal;2010;1,69092745
Romania;2010;-3,333352914
Slovenia;2010;0,672168133
Spain;2010;-0,365660085
Sweden;2010;4,85301685
Switzerland;2010;2,173638164
Austria;2011;2,581103225
Bulgaria;2011;2,746910336
Croatia;2011;0,247771415
Czechia;2011;1,562186175
Denmark;2011;0,894526423
Estonia;2011;7,934149302
Finland;2011;1,916853554
Germany;2011;5,699283136
Greece;2011;-9,743341895
Ireland;2011;1,206476681
Italy;2011;0,522437618
Latvia;2011;4,929581087
Luxembourg;2011;-1,176797867
Netherlands;2011;1,299750382
Norway;2011;-0,197405953
Poland;2011;5,198882223
Portugal;2011;-1,568856596
Romania;2011;5,010833714
Slovenia;2011;0,446562675
Spain;2011;-0,992358659
Sweden;2011;2,387802153
Switzerland;2011;0,68733987
Austria;2012;0,170488634
Bulgaria;2012;1,334066095
Croatia;2012;-1,789055057
Czechia;2012;-0,909418374
Denmark;2012;-0,380977142
Estonia;2012;4,043774303
Finland;2012;-1,990290984
Germany;2012;0,285850062
Greece;2012;-7,83408918
Ireland;2012;-0,820120249
Italy;2012;-3,386004634
Latvia;2012;8,644499468
Luxembourg;2012;-0,76218341
Netherlands;2012;-1,343636188
Norway;2012;1,377640901
Poland;2012;1,512024367
Portugal;2012;-3,661114464
Romania;2012;2,358280667
Slovenia;2012;-3,119225598
Spain;2012;-2,928158964
Sweden;2012;-1,148444728
Switzerland;2012;0,110596604
Austria;2013;-0,836906917
Bulgaria;2013;0,015418555
Croatia;2013;0,498388391
Czechia;2013;-0,074962986
Denmark;2013;0,970845948
