countryname;Year;GDP_per_capita
Bulgaria;1999;1659,718611
Croatia;1999;5269,033946
Czechia;1999;6377,621108
Denmark;1999;33426,23811
Estonia;1999;4140,936602
Finland;1999;26180,41286
Germany;1999;26965,49228
Greece;1999;12742,54044
Ireland;1999;26338,10775
Italy;1999;22049,99906
Latvia;1999;3063,897946
Luxembourg;1999;50872,44927
Netherlands;1999;28318,74665
Norway;1999;36393,29275
Poland;1999;4415,500675
Portugal;1999;12475,29177
Romania;1999;1599,906228
Slovak Republic;1999;5651,623275
Slovenia;1999;11401,49068
Spain;1999;15707,94731
Sweden;1999;30969,10335
Switzerland;1999;41695,69129
Austria;2000;24487,29747
Bulgaria;2000;1621,262107
Croatia;2000;4953,651588
Czechia;2000;6062,921528
Denmark;2000;30722,02518
Estonia;2000;4070,609024
Finland;2000;24335,92251
Germany;2000;23925,85599
Greece;2000;11638,20107
Ireland;2000;26334,56721
Italy;2000;20190,00356
Latvia;2000;3278,178964
Luxembourg;2000;48659,59888
Netherlands;2000;26225,16977
Norway;2000;38178,23688
Poland;2000;4520,641004
Portugal;2000;11526,37207
Romania;2000;1659,929049
Slovak Republic;2000;5421,644844
Slovenia;2000;10135,72191
Spain;2000;14743,2671
Sweden;2000;29632,77361
Switzerland;2000;38865,02194
Austria;2001;24430,49598
Bulgaria;2001;1770,907049
Croatia;2001;5364,838247
Czechia;2001;6669,074948
Denmark;2001;30768,47755
Estonia;2001;4502,66615
Finland;2001;24965,203
Germany;2001;23878,36415
Greece;2001;12156,95728
Ireland;2001;28282,40988
Italy;2001;20571,47877
Latvia;2001;3504,618295
Luxembourg;2001;48440,14202
Netherlands;2001;26955,7128
Norway;2001;38601,89764
Poland;2001;5015,2379
Portugal;2001;11734,76497
Romania;2001;1825,192994
Slovak Republic;2001;5712,478028
Slovenia;2001;10375,62559
Spain;2001;15368,2338
Sweden;2001;27259,48067
Switzerland;2001;39638,79111
Austria;2002;26334,86222
Bulgaria;2002;2092,982886
Croatia;2002;6219,581641
Czechia;2002;8101,260186
